index,id,title,description,channelTitle,tags,categoryId,duration,viewCount,likeCount,dislikeCount,commentCount,documents,Doc,Topic,Probability
12477,8G5SQY3Ysog,Mindful Yoga with Nancy Boler - 7/17/20,"If you'd like to donate to support the teacher(s) and the center, visit https://commongroundmeditation.org/about/supporting-the-center/. Be sure to enter Nancy Boler in the Teacher/Fund box. 2/3 of the donation supports the teacher(s) and 1/3 supports the general operations of the center.",Common Ground Meditation Center,<no tags>,29,PT1H17M23S,104.0,1.0,0.0,0.0,"Mindful Yoga with Nancy Boler - 7/17/20 If you'd like to donate to support the teacher(s) and the center, visit https://commongroundmeditation.org/about/supporting-the-center/. Be sure to enter Nancy Boler in the Teacher/Fund box. 2/3 of the donation supports the teacher(s) and 1/3 supports the general operations of the center. <no tags>",0,6,0.8964735865592957
10830,CVhEVp51RxU,SimplyAware Sound Bath Experience,"Enjoy the healing power of hand hammered Himalayan bowls as they guide your mind and body into a deeply restful state of being. We host monthly sound baths at our SimplyAware Wellness & Training Center as well as coming to you with our large collection of bowls to create a unique, deeply restful experience for your team, employees or friends.",Sifu Chris Bouguyon,"healing sounds, vibrational therapy, simplyaware, meditation, Himalayan Bowls",22,PT2M18S,150.0,6.0,0.0,0.0,"SimplyAware Sound Bath Experience Enjoy the healing power of hand hammered Himalayan bowls as they guide your mind and body into a deeply restful state of being. We host monthly sound baths at our SimplyAware Wellness & Training Center as well as coming to you with our large collection of bowls to create a unique, deeply restful experience for your team, employees or friends. healing sounds, vibrational therapy, simplyaware, meditation, Himalayan Bowls",1,6,0.8805257678031921
153,--jhKVdZOJM,Home - Day 1 - Recognize  |  30 Days of Yoga With Adriene,"Yoga provides us the tools for getting to know who we really are. This journey is about reuniting with your self through regular practice. Through the process of getting to know who you really are, you will find that you need not prioritize the where, or the what, as much. ",Yoga With Adriene,"home 30 day yoga journey, ywahome, day one, home yoga practice, yoga at home, at home yoga, 30 day challenge, 30 day yoga, 30 day yoga challenge, yoga with adriene 30 days of yoga, true 30 days of yoga, 30 days of yoga, 30 days of yoga camp, adriene mishler, austin yoga instructor, beginners yoga, dedicate, free yoga, free yoga videos, full yoga class, morning yoga, online yoga, yoga, yoga (sport), yoga for beginners, yoga for weight loss, yoga practice, yoga with adrienne",26,PT43M11S,5414196.0,75158.0,1221.0,6536.0,"Home - Day 1 - Recognize  |  30 Days of Yoga With Adriene Yoga provides us the tools for getting to know who we really are. This journey is about reuniting with your self through regular practice. Through the process of getting to know who you really are, you will find that you need not prioritize the where, or the what, as much.  home 30 day yoga journey, ywahome, day one, home yoga practice, yoga at home, at home yoga, 30 day challenge, 30 day yoga, 30 day yoga challenge, yoga with adriene 30 days of yoga, true 30 days of yoga, 30 days of yoga, 30 days of yoga camp, adriene mishler, austin yoga instructor, beginners yoga, dedicate, free yoga, free yoga videos, full yoga class, morning yoga, online yoga, yoga, yoga (sport), yoga for beginners, yoga for weight loss, yoga practice, yoga with adrienne",2,1,0.5571281313896179
6008,xCPccjTgo7I,Kundalini Yoga: Kriya for Morning Sadhana,"An excellent practice to do in the morning to boost energy, detoxify the body and activate all the Chakras. I love it!
This powerful class was requested by a member from our Patreon community: https://www.patreon.com/refeelyoga
Thank you Alexia!",Refeel Yoga,"Refeel Yoga, Yoga, Tantra, Kundalini, Meditation, Health, Wellness, Mindfulness, Energy, Chakras, Kundalini Yoga, kriya for morning sadhana, kriya for morning sadhana kundalini yoga, yogi bhajan, yogi bhajan kundalini, yogi bhajan kundalini yoga, chakra yoga class, chakra yoga sequence, kundalini basic spinal series, yoga at home no equipment, kundalini awakening experiences, morning yogas for beginners",27,PT1H20M26S,4293.0,215.0,2.0,89.0,"Kundalini Yoga: Kriya for Morning Sadhana An excellent practice to do in the morning to boost energy, detoxify the body and activate all the Chakras. I love it!
This powerful class was requested by a member from our Patreon community: https://www.patreon.com/refeelyoga
Thank you Alexia! Refeel Yoga, Yoga, Tantra, Kundalini, Meditation, Health, Wellness, Mindfulness, Energy, Chakras, Kundalini Yoga, kriya for morning sadhana, kriya for morning sadhana kundalini yoga, yogi bhajan, yogi bhajan kundalini, yogi bhajan kundalini yoga, chakra yoga class, chakra yoga sequence, kundalini basic spinal series, yoga at home no equipment, kundalini awakening experiences, morning yogas for beginners",3,1,0.9289679527282715
12761,eZphL6_q4sE,City of Windsor EarlyON - Mindful Movement Cozy Bedtime Routine,"The City of Windsors Childrens Services team has put together fun and engaging activities to stay connected. In this video, our EarlyON team guides children through a yoga session with a bedtime routine theme!
Visit City of Windsor Childrens Services website for new ideas for things to do with your family while you are home: Visit: childrensserviceswindsoressex.ca and click on Activities: Online and at home",cityofwindsor,<no tags>,25,PT6M41S,20.0,1.0,0.0,0.0,"City of Windsor EarlyON - Mindful Movement Cozy Bedtime Routine The City of Windsors Childrens Services team has put together fun and engaging activities to stay connected. In this video, our EarlyON team guides children through a yoga session with a bedtime routine theme!
Visit City of Windsor Childrens Services website for new ideas for things to do with your family while you are home: Visit: childrensserviceswindsoressex.ca and click on Activities: Online and at home <no tags>",4,0,0.8048934936523438
8574,G9TSbIrp8qQ,Fat Burning HIIT Pilates Workout - 35 Minute Pilates and HIIT Cardio Blend,Calorie burn & more @ https://gofb.info/i2OSuT,FitnessBlender,"fitness blender, fitness, blender, hiit, hiit cardio, hiit workout, high intensity interval training, fat burning workout, fat burning cardio, cardio, cardio workout, pilates, workout, video, online, pilates workout, pilates workout video, hiit pilates, pilates hiit, pilates cardio, cardio and pilates, at home workouts, workout at home, home workout videos, workout videos, pilates online, free workouts online, free online workouts, full length workout videos, free workouts",26,PT35M22S,4918363.0,36433.0,1028.0,723.0,"Fat Burning HIIT Pilates Workout - 35 Minute Pilates and HIIT Cardio Blend Calorie burn & more @ https://gofb.info/i2OSuT fitness blender, fitness, blender, hiit, hiit cardio, hiit workout, high intensity interval training, fat burning workout, fat burning cardio, cardio, cardio workout, pilates, workout, video, online, pilates workout, pilates workout video, hiit pilates, pilates hiit, pilates cardio, cardio and pilates, at home workouts, workout at home, home workout videos, workout videos, pilates online, free workouts online, free online workouts, full length workout videos, free workouts",5,1,0.5627120137214661
10083,_Dui9dFdNQI,Soundbath LIVE presents Torkom Ji,Soundbath LIVE presents a live-stream sound bath with  sound healer Torkom Ji. ,Soundbath Live,"soundbath, soundbathlive, torkomji, quantumharmonix, subpac, electricsoundbath, soundmeditation",22,PT1H5M48S,1836.0,75.0,1.0,9.0,"Soundbath LIVE presents Torkom Ji Soundbath LIVE presents a live-stream sound bath with  sound healer Torkom Ji.  soundbath, soundbathlive, torkomji, quantumharmonix, subpac, electricsoundbath, soundmeditation",6,0,0.2034977525472641
5156,zSIFaA2JF5s,Aydnlktan Karanla - Restorative Yoga - 2021 Niyetleri iin #evdeyoga #meltemleyoga,"Yavalamak ve kendinizle bulumanz iin kanalmda ilk defa restorative yoga paylayorum. Yapma hallerimizden olma hallerimize gemek iin ! veee k gndnmn kutlamak iin. En ksa gn, en uzun gece olarak bilinen k gn dnmne zel rahatlatc bir ak hak ediyoruz. ",Meltem ile Yoga,"yoga, yoga online, herkese yoga, fitness, flexibility, yeni balayanlar iin yoga, vinyasa yoga, hatha yoga, 10 dakika, 10 dakikalk yoga, balang yoga, vinyasa, sabah yogas, sabah yoga, evde yoga, meltem fakabasmaz, meltem ile yoga, restorative yoga, niyet yogas, balang yogas, 2021 niyet yogas",17,PT36M54S,965.0,9.0,2.0,1.0,"Aydnlktan Karanla - Restorative Yoga - 2021 Niyetleri iin #evdeyoga #meltemleyoga Yavalamak ve kendinizle bulumanz iin kanalmda ilk defa restorative yoga paylayorum. Yapma hallerimizden olma hallerimize gemek iin ! veee k gndnmn kutlamak iin. En ksa gn, en uzun gece olarak bilinen k gn dnmne zel rahatlatc bir ak hak ediyoruz.  yoga, yoga online, herkese yoga, fitness, flexibility, yeni balayanlar iin yoga, vinyasa yoga, hatha yoga, 10 dakika, 10 dakikalk yoga, balang yoga, vinyasa, sabah yogas, sabah yoga, evde yoga, meltem fakabasmaz, meltem ile yoga, restorative yoga, niyet yogas, balang yogas, 2021 niyet yogas",7,1,0.5766120553016663
6631,V-BhKhHIU10,Prenatal Kundalini Yoga with Sarah Kamrath,Prenatal Kundalini Yoga is safe and healthy for mama and baby!  Learn more @  http://www.happyhealthychild.com and discover the world of Kundalini yoga at http://www.spiritvoyage.com,Spirit Voyage,"yoga, v4",27,PT1H2M52S,195573.0,1340.0,54.0,67.0,"Prenatal Kundalini Yoga with Sarah Kamrath Prenatal Kundalini Yoga is safe and healthy for mama and baby!  Learn more @  http://www.happyhealthychild.com and discover the world of Kundalini yoga at http://www.spiritvoyage.com yoga, v4",8,2,0.73399817943573
8736,0EC-kaxIQ6w,Yoga Nidra | Guided Meditation & Relaxation for Stress Relief | Yogalates with Rashmi,"Yoga Nidra is that state between deep sleep and consciously being awake. It is that state that will help you to rest, relax and let go of your stresses and tensions. Join me in this short guided Yoga Nidra session which you can practice after a long stressful day or after a yoga session to deepen your relaxation.",Yogalates With Rashmi,"yoga, yogalates, meditation, guided meditation, relaxation, guided relaxation, yoga nidra, yoga for stress, stress relief, rashmi, yogalates with rashmi, rashmi ramesh, yoga for relaxation, guided yoga nidra",22,PT16M23S,7116.0,152.0,7.0,21.0,"Yoga Nidra | Guided Meditation & Relaxation for Stress Relief | Yogalates with Rashmi Yoga Nidra is that state between deep sleep and consciously being awake. It is that state that will help you to rest, relax and let go of your stresses and tensions. Join me in this short guided Yoga Nidra session which you can practice after a long stressful day or after a yoga session to deepen your relaxation. yoga, yogalates, meditation, guided meditation, relaxation, guided relaxation, yoga nidra, yoga for stress, stress relief, rashmi, yogalates with rashmi, rashmi ramesh, yoga for relaxation, guided yoga nidra",9,1,0.5962256193161011
