Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3944148094119336
75% Corpus,2,0.01,0.31,0.3944148094119337
75% Corpus,2,0.01,0.61,0.4087744533240739
75% Corpus,2,0.01,0.9099999999999999,0.3970023467286109
75% Corpus,2,0.01,symmetric,0.3944148094119336
75% Corpus,2,0.31,0.01,0.32209339661230857
75% Corpus,2,0.31,0.31,0.391455399937515
75% Corpus,2,0.31,0.61,0.391455399937515
75% Corpus,2,0.31,0.9099999999999999,0.3897297428968836
75% Corpus,2,0.31,symmetric,0.391455399937515
75% Corpus,2,0.61,0.01,0.3492874249166754
75% Corpus,2,0.61,0.31,0.34928742491667547
75% Corpus,2,0.61,0.61,0.3492874249166754
75% Corpus,2,0.61,0.9099999999999999,0.3492874249166754
75% Corpus,2,0.61,symmetric,0.3492685375028051
75% Corpus,2,0.9099999999999999,0.01,0.33881333198260166
75% Corpus,2,0.9099999999999999,0.31,0.3395531388798527
75% Corpus,2,0.9099999999999999,0.61,0.3395531388798527
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.3359309345911142
75% Corpus,2,0.9099999999999999,symmetric,0.3395531388798527
75% Corpus,2,symmetric,0.01,0.35980366508622286
75% Corpus,2,symmetric,0.31,0.3649805867291229
75% Corpus,2,symmetric,0.61,0.35980366508622286
75% Corpus,2,symmetric,0.9099999999999999,0.35980366508622286
75% Corpus,2,symmetric,symmetric,0.3649805867291228
75% Corpus,2,asymmetric,0.01,0.35939106427564627
75% Corpus,2,asymmetric,0.31,0.37595901378361496
75% Corpus,2,asymmetric,0.61,0.3999977033048451
75% Corpus,2,asymmetric,0.9099999999999999,0.3959097447499289
75% Corpus,2,asymmetric,symmetric,0.38087387010319906
75% Corpus,3,0.01,0.01,0.34181590115446103
75% Corpus,3,0.01,0.31,0.33901750368432043
75% Corpus,3,0.01,0.61,0.34099783402200884
75% Corpus,3,0.01,0.9099999999999999,0.3816809986652676
75% Corpus,3,0.01,symmetric,0.3343788540756006
75% Corpus,3,0.31,0.01,0.35876349178090267
75% Corpus,3,0.31,0.31,0.36414505311906065
75% Corpus,3,0.31,0.61,0.34132398064962927
75% Corpus,3,0.31,0.9099999999999999,0.3408813126325459
75% Corpus,3,0.31,symmetric,0.341670208274032
75% Corpus,3,0.61,0.01,0.35612903032033305
75% Corpus,3,0.61,0.31,0.32729737511928647
75% Corpus,3,0.61,0.61,0.35114721324971176
75% Corpus,3,0.61,0.9099999999999999,0.3272973751192864
75% Corpus,3,0.61,symmetric,0.32754032491342605
75% Corpus,3,0.9099999999999999,0.01,0.344268746043336
75% Corpus,3,0.9099999999999999,0.31,0.35343973037221516
75% Corpus,3,0.9099999999999999,0.61,0.3548234930941864
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.35571128202201246
75% Corpus,3,0.9099999999999999,symmetric,0.35285733829202287
75% Corpus,3,symmetric,0.01,0.3644716503835812
75% Corpus,3,symmetric,0.31,0.3408813126325459
75% Corpus,3,symmetric,0.61,0.36373360111523717
75% Corpus,3,symmetric,0.9099999999999999,0.3399645465550336
75% Corpus,3,symmetric,symmetric,0.33938679430615903
75% Corpus,3,asymmetric,0.01,0.3309001539349582
75% Corpus,3,asymmetric,0.31,0.3347813575309106
75% Corpus,3,asymmetric,0.61,0.32725765780881844
75% Corpus,3,asymmetric,0.9099999999999999,0.340231676292907
75% Corpus,3,asymmetric,symmetric,0.3536652267500098
75% Corpus,4,0.01,0.01,0.3814950623971932
75% Corpus,4,0.01,0.31,0.3839604104917095
75% Corpus,4,0.01,0.61,0.37902235538222295
75% Corpus,4,0.01,0.9099999999999999,0.3833761697807685
75% Corpus,4,0.01,symmetric,0.381037376650053
75% Corpus,4,0.31,0.01,0.38319471190840715
75% Corpus,4,0.31,0.31,0.3647208135850418
